year,indicator,num_countries,rel_count,_indicator
1990,1.1.1,17.0,193,01_01_01
1991,1.1.1,36.0,193,01_01_01
1992,1.1.1,66.0,193,01_01_01
1993,1.1.1,77.0,193,01_01_01
1994,1.1.1,86.0,193,01_01_01
1995,1.1.1,94.0,193,01_01_01
1996,1.1.1,100.0,193,01_01_01
1997,1.1.1,103.0,193,01_01_01
1998,1.1.1,110.0,193,01_01_01
1999,1.1.1,111.0,193,01_01_01
2000,1.1.1,113.0,193,01_01_01
2001,1.1.1,117.0,193,01_01_01
2002,1.1.1,122.0,193,01_01_01
2003,1.1.1,129.0,193,01_01_01
2004,1.1.1,133.0,193,01_01_01
2005,1.1.1,136.0,193,01_01_01
2006,1.1.1,141.0,193,01_01_01
2007,1.1.1,140.0,193,01_01_01
2008,1.1.1,141.0,193,01_01_01
2009,1.1.1,143.0,193,01_01_01
2010,1.1.1,144.0,193,01_01_01
2011,1.1.1,138.0,193,01_01_01
2012,1.1.1,133.0,193,01_01_01
2013,1.1.1,125.0,193,01_01_01
2014,1.1.1,119.0,193,01_01_01
2015,1.1.1,106.0,193,01_01_01
2016,1.1.1,91.0,193,01_01_01
2017,1.1.1,73.0,193,01_01_01
2018,1.1.1,28.0,193,01_01_01
2019,1.1.1,0.0,193,01_01_01
2020,1.1.1,0.0,193,01_01_01
1990,1.2.1,1.0,193,01_02_01
1991,1.2.1,1.0,193,01_02_01
1992,1.2.1,2.0,193,01_02_01
1993,1.2.1,6.0,193,01_02_01
1994,1.2.1,7.0,193,01_02_01
1995,1.2.1,8.0,193,01_02_01
1996,1.2.1,10.0,193,01_02_01
1997,1.2.1,13.0,193,01_02_01
1998,1.2.1,15.0,193,01_02_01
1999,1.2.1,16.0,193,01_02_01
2000,1.2.1,29.0,193,01_02_01
2001,1.2.1,39.0,193,01_02_01
2002,1.2.1,49.0,193,01_02_01
2003,1.2.1,55.0,193,01_02_01
2004,1.2.1,69.0,193,01_02_01
2005,1.2.1,78.0,193,01_02_01
2006,1.2.1,88.0,193,01_02_01
2007,1.2.1,91.0,193,01_02_01
2008,1.2.1,97.0,193,01_02_01
2009,1.2.1,98.0,193,01_02_01
2010,1.2.1,102.0,193,01_02_01
2011,1.2.1,97.0,193,01_02_01
2012,1.2.1,95.0,193,01_02_01
2013,1.2.1,87.0,193,01_02_01
2014,1.2.1,76.0,193,01_02_01
2015,1.2.1,62.0,193,01_02_01
2016,1.2.1,45.0,193,01_02_01
2017,1.2.1,26.0,193,01_02_01
2018,1.2.1,3.0,193,01_02_01
2019,1.2.1,0.0,193,01_02_01
2020,1.2.1,0.0,193,01_02_01
1990,1.2.2,0.0,193,01_02_02
1991,1.2.2,0.0,193,01_02_02
1992,1.2.2,0.0,193,01_02_02
1993,1.2.2,0.0,193,01_02_02
1994,1.2.2,0.0,193,01_02_02
1995,1.2.2,0.0,193,01_02_02
1996,1.2.2,0.0,193,01_02_02
1997,1.2.2,0.0,193,01_02_02
1998,1.2.2,0.0,193,01_02_02
1999,1.2.2,0.0,193,01_02_02
2000,1.2.2,0.0,193,01_02_02
2001,1.2.2,0.0,193,01_02_02
2002,1.2.2,0.0,193,01_02_02
2003,1.2.2,0.0,193,01_02_02
2004,1.2.2,0.0,193,01_02_02
2005,1.2.2,0.0,193,01_02_02
2006,1.2.2,0.0,193,01_02_02
2007,1.2.2,0.0,193,01_02_02
2008,1.2.2,0.0,193,01_02_02
2009,1.2.2,0.0,193,01_02_02
2010,1.2.2,30.0,193,01_02_02
2011,1.2.2,33.0,193,01_02_02
2012,1.2.2,34.0,193,01_02_02
2013,1.2.2,34.0,193,01_02_02
2014,1.2.2,40.0,193,01_02_02
2015,1.2.2,35.0,193,01_02_02
2016,1.2.2,36.0,193,01_02_02
2017,1.2.2,33.0,193,01_02_02
2018,1.2.2,27.0,193,01_02_02
2019,1.2.2,6.0,193,01_02_02
2020,1.2.2,0.0,193,01_02_02
1990,1.3.1,0.0,193,01_03_01
1991,1.3.1,0.0,193,01_03_01
1992,1.3.1,0.0,193,01_03_01
1993,1.3.1,0.0,193,01_03_01
1994,1.3.1,0.0,193,01_03_01
1995,1.3.1,0.0,193,01_03_01
1996,1.3.1,1.0,193,01_03_01
1997,1.3.1,1.0,193,01_03_01
1998,1.3.1,2.0,193,01_03_01
1999,1.3.1,3.0,193,01_03_01
2000,1.3.1,142.0,193,01_03_01
2001,1.3.1,140.0,193,01_03_01
2002,1.3.1,145.0,193,01_03_01
2003,1.3.1,147.0,193,01_03_01
2004,1.3.1,152.0,193,01_03_01
2005,1.3.1,155.0,193,01_03_01
2006,1.3.1,159.0,193,01_03_01
2007,1.3.1,162.0,193,01_03_01
2008,1.3.1,164.0,193,01_03_01
2009,1.3.1,168.0,193,01_03_01
2010,1.3.1,168.0,193,01_03_01
2011,1.3.1,167.0,193,01_03_01
2012,1.3.1,166.0,193,01_03_01
2013,1.3.1,165.0,193,01_03_01
2014,1.3.1,164.0,193,01_03_01
2015,1.3.1,164.0,193,01_03_01
2016,1.3.1,165.0,193,01_03_01
2017,1.3.1,156.0,193,01_03_01
2018,1.3.1,143.0,193,01_03_01
2019,1.3.1,147.0,193,01_03_01
2020,1.3.1,0.0,193,01_03_01
1990,1.4.1,0.0,193,01_04_01
1991,1.4.1,0.0,193,01_04_01
1992,1.4.1,0.0,193,01_04_01
1993,1.4.1,0.0,193,01_04_01
1994,1.4.1,0.0,193,01_04_01
1995,1.4.1,0.0,193,01_04_01
1996,1.4.1,0.0,193,01_04_01
1997,1.4.1,0.0,193,01_04_01
